date,PCE inflation (QoQ)
1959 Q1,NAN
1959 Q2,2.664297688
1959 Q3,2.64666884
1959 Q4,2.020443624
1960 Q1,0.889513475
1960 Q2,1.610129643
1960 Q3,1.580478523
1960 Q4,1.181274202
1961 Q1,0.623971008
1961 Q2,1.682175478
1961 Q3,1.835391806
1961 Q4,0.548979328
1962 Q1,2.051988084
1962 Q2,1.36216716
1962 Q3,1.199401199
1962 Q4,0.361377777
1963 Q1,1.464749109
1963 Q2,1.907383491
1963 Q3,1.430169121
1963 Q4,1.824962827
1964 Q1,1.684026418
1964 Q2,1.015845519
1964 Q3,1.079266093
1964 Q4,1.295672164
1965 Q1,1.247777725
1965 Q2,1.11314289
1965 Q3,1.631367986
1965 Q4,1.81926785
1966 Q1,1.595861509
1966 Q2,3.791497582
1966 Q3,3.121780598
1966 Q4,3.538168702
1967 Q1,1.694784803
1967 Q2,2.99533381
1967 Q3,4.000239535
1967 Q4,3.737104401
1968 Q1,5.089692502
1968 Q2,4.529969341
1968 Q3,4.518484353
1968 Q4,4.33217231
1969 Q1,4.727161111
1969 Q2,4.520253134
1969 Q3,4.582254
1969 Q4,4.71569498
1970 Q1,4.349271138
1970 Q2,4.429401137
1970 Q3,4.560148522
1970 Q4,6.029862724
1971 Q1,4.371820102
1971 Q2,4.807937949
1971 Q3,2.751042481
1971 Q4,2.783302942
1972 Q1,3.557536579
1972 Q2,2.655918314
1972 Q3,3.336828527
1972 Q4,2.484480037
1973 Q1,3.108632188
1973 Q2,5.580615625
1973 Q3,5.583500871
1973 Q4,5.679464197
1974 Q1,7.608607955
1974 Q2,10.90085133
1974 Q3,10.93283537
1974 Q4,8.833120981
1975 Q1,7.242833241
1975 Q2,5.56860001
1975 Q3,6.009992314
1975 Q4,7.046618518
1976 Q1,4.960252396
1976 Q2,5.056127205
1976 Q3,6.831801199
1976 Q4,5.934146781
1977 Q1,6.569239072
1977 Q2,6.389675774
1977 Q3,6.108472156
1977 Q4,6.064074757
1978 Q1,6.078750471
1978 Q2,7.160842418
1978 Q3,6.775287593
1978 Q4,6.629119867
1979 Q1,5.646010924
1979 Q2,9.371962409
1979 Q3,7.365714771
1979 Q4,8.324216077
1980 Q1,10.68597359
1980 Q2,7.902397385
1980 Q3,9.430920992
1980 Q4,8.819912086
1981 Q1,8.574540737
1981 Q2,7.287236582
1981 Q3,7.687822441
1981 Q4,6.178000042
1982 Q1,5.732231113
1982 Q2,5.761258646
1982 Q3,5.896293561
1982 Q4,5.276148846
1983 Q1,4.711710921
1983 Q2,3.650849512
1983 Q3,6.355494288
1983 Q4,1.93842912
1984 Q1,5.35479033
1984 Q2,3.743959431
1984 Q3,3.655728842
1984 Q4,3.319457943
1985 Q1,5.706209385
1985 Q2,3.171547288
1985 Q3,3.955095035
1985 Q4,2.707558543
1986 Q1,4.402543061
1986 Q2,2.602687353
1986 Q3,2.856338901
1986 Q4,2.715961327
1987 Q1,2.92922956
1987 Q2,3.909621839
1987 Q3,3.961215543
1987 Q4,3.383871538
1988 Q1,4.409290497
1988 Q2,4.987997057
1988 Q3,4.762000427
1988 Q4,3.93743301
1989 Q1,4.228177237
1989 Q2,3.589829433
1989 Q3,2.974512318
1989 Q4,3.644859204
1990 Q1,5.390252158
1990 Q2,3.963301195
1990 Q3,4.064299235
1990 Q4,2.394726645
1991 Q1,3.92171798
1991 Q2,3.254812969
1991 Q3,3.911116013
1991 Q4,2.613584065
1992 Q1,3.164923281
1992 Q2,2.184503009
1992 Q3,2.522145278
1992 Q4,3.148948792
1993 Q1,2.797214196
1993 Q2,2.895446712
1993 Q3,2.173235232
1993 Q4,1.867681719
1994 Q1,2.542885055
1994 Q2,2.373470325
1994 Q3,1.896320898
1994 Q4,1.805970375
1995 Q1,2.629061572
1995 Q2,1.952469671
1995 Q3,2.119153551
1995 Q4,1.789307099
1996 Q1,1.897697702
1996 Q2,1.541203992
1996 Q3,2.305966295
1996 Q4,1.630820543
1997 Q1,2.200451621
1997 Q2,1.661804876
1997 Q3,0.939149263
1997 Q4,0.957517092
1998 Q1,1.380754241
1998 Q2,0.619532019
1998 Q3,1.842674366
1998 Q4,1.535022724
1999 Q1,0.907058594
1999 Q2,1.414750231
1999 Q3,1.896990139
1999 Q4,1.548146601
2000 Q1,2.44774093
2000 Q2,0.814249645
2000 Q3,2.31944914
2000 Q4,1.52084888
2001 Q1,2.370609508
2001 Q2,1.676395285
2001 Q3,-0.993293349
2001 Q4,3.784644738
2002 Q1,1.40284207
2002 Q2,2.274560156
2002 Q3,2.095132663
2002 Q4,1.079071085
2003 Q1,1.09983951
2003 Q2,0.959885085
2003 Q3,1.814168917
2003 Q4,1.745129782
2004 Q1,2.631404269
2004 Q2,2.225937853
2004 Q3,1.431029443
2004 Q4,2.210318503
2005 Q1,3.00403165
2005 Q2,1.425621813
2005 Q3,1.741069887
2005 Q4,2.532465403
2006 Q1,2.498709047
2006 Q2,2.934644364
2006 Q3,1.875565415
2006 Q4,1.485373215
2007 Q1,2.963008883
2007 Q2,1.525367572
2007 Q3,2.262104525
2007 Q4,2.480914752
2008 Q1,2.180098157
2008 Q2,1.998643383
